TEAM NAMES,Series Number,Filename,Name,Description,Gender,Attributes,UUID,Hash
,163,bimpe-the-runzgirl,bimpe the runzgirl,Be careful with Bimpe because she cac be sensitive.,Female,hair: purple dreadlock; eyes: none; teeth: none; clothing: one arm ankara; expression: mischievious; accessories: eye glasses; strength: humanitarian; weakness: opposite sex,eaa7662f-6926-468a-9add-e791916ae42b,d8a8ccfd30ab918304415451aeee7f71cf97dd972892b560a8654173273d0263
,164,sola-the-queen,sola the queen,Sola is a princess as she's got the mind of a queen.,Female,hair: brown long hair; eyes: none; teeth: none; clothing: blouse top; expression: cool; accessories: eye glasses; strength: Strong character; weakness: beauty,d5f23ad3-832a-4d3e-814e-e23f466d18a4,9420e27a1a955ba257cad0f4b962000432a9ef91f3b6ca272e558944831406d1
,165,temi-afro-girl,temi afro girl,Temi is know for her funny haircut and this time afro is up.,Female,hair: orange full hair; eyes: none; teeth: none; clothing: ankara; expression: cool; accessories: eye glasses; strength: loving; weakness: sheepish,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,4860c0dece1fb5bee487a35436fe854fd4b20b7f45d8ab6626294028b7474cb8
,166,jonny-the-bravo,jonny the bravo,Jonny is friendly to all and everybody sees him as kind agile Jonny.,Male,hair: orange pink; eyes: closed; teeth: candy in mouth; clothing: igbo attire; expression: relaxed; accessories: candy in mouth; strength: helping people; weakness: hastly rash,2b345988-b4b0-453b-ad39-efe1321bc8f1,fbad87cab8428ce1d2df6e33c44dd7daa76bfa65f480738685163aa5f44271ee
,167,tunde-the-bigman,tunde the bigman,Tunde is the big man on the street and flamboyant life style is his identity.,Male,hair: none; eyes: closed; teeth: white with one tooth missing; clothing: agbada; expression: resting; accessories: head wear; strength: money; weakness: monkey,56db423e-8b09-453e-b5fc-61f4da9d7a6f,d88a7755027fb7be94212ca7c860c464b20d69c23f3dc22ec5cdc1a116273afc
,168,joe-the-plain,joe the plain,Plain and simple and no one in town is more gentle that broda Joe.,Male,hair: none; eyes: watery blue eye; teeth: tongue out; clothing: agbada; expression: happy; accessories: face cap; strength: handling situation; weakness: overthinking,7a3083bd-5aa2-48b5-a30b-4445cc060f57,b087062a114b13005819cd213f1cd7db48be48bb9e46e7d61d0b8fa07392cb6c
,169,wale-sharp-guy,wale sharp guy,Wale no de carry last because he thinks and act fast.,Male,hair: none; eyes: closed; teeth: white with a tooth missing; clothing: agbada; expression: fearful; accessories: blue head scaf; strength: smart; weakness: too forward,44906ea0-901b-4b3d-802f-f73acc8758f6,e2fa01285fdc926cd9f54ce1138d24e2f338cc20020f2bf4c23f470fe7f06355
,170,dele-the-snoozer,dele the snoozer,If sleeping were to be a job then Dele will be the world busiest man.,Male,hair: low cut; eyes: closed; teeth: gapped teeth; clothing: agbada; expression: snoozing; accessories: none; strength: loving; weakness: sleep,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,67cba2d516021b40069b4fde7ad93cbc4c8cfc5d88185dce9d0761c7d7aae130
,171,father -of -tolu,father of tolu,Baba Tolu is a proud father. He will sell his soul just to see Tolu excel in life.,Male,hair: none; eyes: black iris; teeth: long front tooth; clothing: ankara; expression: fearfully; accessories: head cap; strength: fatherly; weakness: women,a2651258-ca3f-4940-b095-3a61ff630263,4f35b39b8758b1806157542304d26575d14df6c786eaa4df9f9c1d35c51eae56
,172,emeka-the-chief,emeka the chief,Chief Emeka is the pillar of the community. Just and fair to all. The real mazi.,Male,hair: none; eyes: black iris; teeth: full white teeth; clothing: wrapper wrapped around body; expression: smiling; accessories: head cap; strength: leadership; weakness: anger,de25fd63-dafd-4f77-8072-7ac0ae3a3ab2,fb0fac75a3324a608217dd487667e2105258a21b32fbddd7a5cec825490ea8e6
,173,lawal-the-drooler,lawal the drooler,Lawal has only one business which is just to sleep and sleep. it's only normal for him to drool anytime.,Male,hair: none; eyes: teary grey iris; teeth: gapped teeth; clothing: agbada; expression: sleepy; accessories: head wear; strength: rich; weakness: alcoholism,806b640f-1c8b-4cc0-aa10-45f3ddc00140,6f6c2145ce51458095af89818f19b6815f40ea6db12b5b5d8dca8ebef01c1d07
,174,solo-the-messenger,solo the messenger,"Solo is a multitasker if you need anything done in your home, Solo is your guy.",Male,hair: none; eyes: black eye; teeth: stained tooth; clothing: simple top; expression: relax; accessories: cap; strength: multitasking; weakness: women,44906ea0-901b-4b3d-802f-f73acc8758f6,929fca5295a7f34325a904ca23b10579a6e31de1800e86c87cd048b254261ff6
,175,femi-the-honorable,femi the honorable,Honorable Femi is the modern day politician but everything he does is only to further his political career.,Male,hair: none; eyes: blue iris; skin color: brown; teeth: one missing tooth; clothing: aso oke; expression: happy; accessories: abetiaja cap; strength: public speaking; weakness: money,af53bf52-b517-4347-adc6-07cf30c19025,bcf80535a9d548a5fcc9f91857b1dc5f958141f2bed7ba499891a784f7834332
,176,friday-the-bigsboy,friday the bigsboy,Friday always live up to his name. Every Friday is for the party.,Male,hair: orange afro; eyes: black iris; skin color: brown; teeth: none; clothing: aso oke; expression: unconcerned; accessories: cigrette in mouth; strength: money in pocket; weakness: sense of responsibility,05ec3aae-7da8-4125-93fb-6fc544e5bc61,59bcdcd4add1a1b290bc922067722b3405fd744e6ce344559f92178a79c23b28
,177,kweku-the-planter,kweku the planter,Kweku says he did it but he dey plant until he was bursted.,Male,hair: none; eyes: closed; teeth: none; clothing: aso oke; expression: smiling; accessories: head wear; strength: industrious; weakness: criminally minded,af53bf52-b517-4347-adc6-07cf30c19025,92d7cc09f0f7be21ce020d32c39d9c1d0aa1c0d8a4e888c78df941e7bdc79408
,178,2pac-the-remix,2pac the remix,2pac is alive in him because his style is exactly the same.,Male,hair: none; eyes: blue iris; teeth: gapped teeth; clothing: Igbo clothing; expression: surprised; accessories: face cap; strength: hardworking; weakness:fear,9993e5ec-2f31-485c-9c6d-f780c078ae56,0a4332729992436ef15df279f9e4e9db411ae6fe7ddad9ba241f23bda0db1e4b
,179,tope-the-influencer,tope the influencer,Tope is a famous influencer and she is loved by his followers which keep growing everyday.,Female,hair: none; eyes: black iris; teeth: none; clothing: agbada; expression: tired; accessories: tied head scaf; strength: Influencing people; weakness: talk too much,3b3e1f66-922b-4f87-8cdb-0d09fc143182,761ac92b46d6aef1a79cf1b978c9a84a494f849dd30c092c340468293cd0818e
,180,gabby-the-evangelist,gabby the evangelist,Evangelist Gabby is blending gospel with comedy.,Male,hair: pink hair; eyes: black iris; teeth: none; clothing: agbada; expression: happily surprised; accessories: none; strength: make people happy; weakness:misleading,ac721b71-cbc5-425c-851f-ee826973f0b9,a100a5603f9ea2df6fb3f05b4ba88981051a88ea0c2bd177ccae5cf571bf5e41
TEAM CRANKSHAFT,181,beauty-of-town,beauty of town,She is the most beautiful in the neighbourhood,Female,hair:pitch; eyes: blue  teeth: none  clothing: top accessories: bow-tie  expression: strengths: powerful; weakness: sentimental,7241a1be-59da-11ed-9b6a-0242ac120002,db9fb54a9b61ecd688b3dfbd876e4552c8b3354f52cc466e2fe4d0fec0e58adf
,182,lola-babe,lola babe,Looking hot as always,Female,hair:brown; eyes: blue;  teeth: none;  clothing: aso-oke;  accessories: none;  expression: happy; strengths: calculative; weakness: misleading,7241a664-59da-11ed-9b6a-0242ac120002,1eebfe2d5f6c9508476a455f0a4aa4d0acb2a280a9051aeb13d657e2759f1aa6
,183,cardy_h-sharp-babe,cardy h sharp babe,Cardy is the sharpest amongst her friends,Female,hair: two brown bun; eyes: blue;  teeth: none;  clothing: yoruba-clothing (aso-oke);  accessories: none;  expression: strengths: free spirit; weakness: misleading,7241a7c2-59da-11ed-9b6a-0242ac120002,c6ef953a5fb2ae59bea300cdbeb6d6d63cf0746dc83fe62baf8a6c5492a4367b
,184,bella-the-baller,bella the baller,Baller for Life,Female,hair: brown; eyes: blue  teeth: none  clothing: igbo-clothing accessories: none  expression: determined strengths: adaptation; weakness: fluency,7241ad26-59da-11ed-9b6a-0242ac120002,d4e34d1351c6e922fc20f0ca6e2c2c70e6672de818854f460da9dde0ca08084e
,185,milly-of-roses,milly of roses,Her lips so red like a rose,Female,hair: beige; eyes: blue  teeth: none  clothing: black-top  accessories: none  expression:strengths: cool headed; weakness: pressure,7241af92-59da-11ed-9b6a-0242ac120002,92f6ca2d3fd71ecdf7d712aedb0fb7eb0a711303c5e68b61f7171d2865e7125d
,186,preciousjada-the-viper,preciousjada the viper,Her words stings likes a viper,Female,hair: ginger afro; eyes: blue  teeth: white teeth  clothing: aso-oke   expression: strong-willed  strengths: confidence; weakness: endurance,7241b12c-59da-11ed-9b6a-0242ac120002,eac502c7dbdc385d9444cfd5dc637006f03cc77dfc6d1a605bcb954e998006a7
,187,lolly-of-ny,lolly of ny,Most popular in NY,Female,hair: purple braids; eyes: black  teeth: none  clothing: black and blue top  accessories: none expression: calculative strength: strong willed; weakness: relationship,7241b2ee-59da-11ed-9b6a-0242ac120002,5feaeba433ff6173a312717ce45faa83ab59fd6e9f102680b0d3cb32809bd28b
,188,disy-the-dancer,disy the dancer,Dances her way into any show,Female,hair: black hair tied with scalf; eyes: black  teeth: none  clothing: one-arm top  accessories: none  expression: bad girl vibes  strength: cleaniness; weakness: perfectionist,7241b4c4-59da-11ed-9b6a-0242ac120002,d061736da325837d84a661a7f84a35878ad86b550472a7753d5f1d14a94d7f94
,189,jenny-the-great,jenny the great,The greatest of our time,Female,hair: black tied with scalf; eyes: none  teeth: none  clothing: none  accessories: none  expression: none  strength: badass weakness: cancer,7241b852-59da-11ed-9b6a-0242ac120002,9a7a006731de988ab6e14810426850012f5386f38b57f6031d1a4b50a8252640
,190,lolly-the-pop,lolly the pop,Seeing lolly makes me pop,Female,hair: bald; eyes: none  teeth: none  clothing: none  accessories: none  expression: none  strength: peaceful weakness: anger,7241ba00-59da-11ed-9b6a-0242ac120002,7159b2f2b259285af145b44e339e0eef22bad1470ea2010fc71846b4788c8776
,191,disy-the-queen,disy the queen,The queen in her own space,Female,hair: one bun dark brown; eyes: none  teeth: none  clothing: none  accessories: none  expression: none  strength: beauty; weakness: lover girl,7241bda2-59da-11ed-9b6a-0242ac120002,c232276165e674a165f29b5902eabef45e7c7196a94bbc2a322255a3eeb0ad28
,192,jennyp-of-lagos,jennyp of lagos,A well known celebrity in Lagos,Female,hair: bald; eyes: none  teeth: none  clothing: none  accessories: none  expression: none  strength: super powerful; weakness: sleeping,7241bf1e-59da-11ed-9b6a-0242ac120002,9af1c4cee0b1d75fc144642ecd961bf46cfb8451ba1d055f4af1e3b39dd8decc
,193,jada-of-life,jada of life,Her business signature,Female,hair: male; eyes: none  teeth: none  clothing: none  accessories: none  expression: none  strength: calm weakness: sun,7241c202-59da-11ed-9b6a-0242ac120002,eb0ac83a4c5f92b3a8fae1df73a2f11b61c18bead679ff4f19db1cd688122b1b
,194,sandy-the-rapper,sandy the rapper,She just loves to rap,Female,hair: bald; eyes: none  teeth: none  clothing: none  accessories: none  expression: none  strength: clean weakness: foodie,7241c342-59da-11ed-9b6a-0242ac120002,4e23c4d605eecaf8c5fe2eeaa9014507d824b9276723ddd1265113ae83b9e431
,195,dahila-the-genius,dahila the genius,The genius in the family,Female,hair: bald; eyes: none  teeth: none  clothing: none  accessories: none  expression: none  strength: activist; weakness: irrational,7241c4fa-59da-11ed-9b6a-0242ac120002,7dd69782ecc862296b85fd2a0fc7ae1896152112b05c5521db95d385a7e31a67
,196,rosemary-of-yaba,rosemary of yaba,She has a cloth store in Yaba,Female,hair: bald; eyes: none  teeth: none  clothing: none  accessories: none  expression: none  strength: mind games; weakness: insomia,7241c61c-59da-11ed-9b6a-0242ac120002,8c792a7e7869b6529cff0298ad7f0475e3b5602f46dbffc228c6d46ebd059a4a
,197,jennifer-of -island,jennifer of island,She goes on vacation to the island,Female,hair: bald; eyes: none  teeth: none  clothing: none  accessories: none  expression: none  strength: strong ; weakness: lateness,7241ca18-59da-11ed-9b6a-0242ac120002,543b9f1d20461dfeb8fe0fe976a0ed631b18013d4722d00023e66e42f888f400
,198,opeyemi-of-lekki,opeyemi of lekki,Opeyemi lives in lekki,Female,hair: bald; eyes: none  teeth: none  clothing: none  accessories: none  expression: none  strength: conversationist; weakness: traditionalist,7241c8e2-59da-11ed-9b6a-0242ac120002,456cb35ad60e0ce6ebdaa5977535c2b2ab9c3f450c139fe93ee953ebc07c64f6
,199,vicky-the-artist,vicky the artist,Brings life into what she draws,Female,hair: bald; eyes: none  teeth: none  clothing: none  accessories: none  expression: none  strength: strong willed; weakness: crying,7241cb3a-59da-11ed-9b6a-0242ac120002,40fb4bee86ee50f4a5f356bc5c6434d16b7b362e24736fc847b778b5dc68106c
,200,afrogirl-sailor,afrogirl sailor,She loves to sail the ocean,Female,hair: bald; eyes: none  teeth: none  clothing: none  accessories: none  expression: none  strength: height;  weakness: pride,7241cc66-59da-11ed-9b6a-0242ac120002,609b0b121f56527e2b470e2006a964be7d59dce176cb2a48cadab888b1cf1efd
TEAM GEAR,201,ahmed-the-merchant,ahmed the merchant,A rich merchant that sells in babylon.,Male,hair: none; eyes: closed; teeth: none; clothing: one-hand; accessories: none; expression: smiling; strength: business; weakness: alcohol,9996ecb6-4d92-4b51-bc50-d962f68f1ecc,ba472e498b1ab020add100b10c73ce9f2746b625728ddcbd061f3c91f372b910
,202,blind-tonia,blind tonia,A girl that lost one of her eyes in a street fight.,Female,hair: brown; eyes: one; teeth: none; clothing: blouse; accessories: none; expression: none; strength: smiling; weakness: none,4a5f4c6d-d0dd-4b71-b095-86ef11910962,1d8b461a6830b30611ecf1980d714fb2eef8a0bb34ae82f0ad283e0d3a6b02ba
,203,buffy-the-vampire,buffy the vampire,A vampire diary protagonist that got bitten by a vampire in real life.,Female,hair: none; eyes: small; teeth: two; clothing: shirt; accessories: none; expression: none; strength: biting; weakness: none,bd329fd7-dd90-4180-a7a7-03e2d41535cb,2c9f263186a0d07c0a3f77c4642567a8b7eda8687baf415e1971f4894ee245af
,204,caro-lipstick,caro lipstick,"A girl that puts on lipstick always, even to bed.",Female,hair: brown; eyes: glasses; teeth: none; clothing: blouse; accessories: none; expression: sazzy; strength: none; weakness: none,a34d7a7b-d8f6-46fb-9abc-6d6d7293fffb,7aaeb499fadf2f9c6c68a6b6d9469b52679dd2fea51144e966f48a74adb2bb4d
,205,charity-the-maid,charity the maid,A maid that works for the fun of it.,Female,hair: none; eyes: small; teeth: two; clothing: shirt; accessories: none; expression: none; strength: biting; weakness: none,22286b60-5f7b-4df3-8cb1-187d02fb83d0,af5599d188125b847541685d46793b3b86efff458dc1edb7e2a202851737f4ed
,206,charity-with-fakehair,charity with fakehair,A girl with a bald hair but always wears wig to cover her head.,Female,hair: orange; eyes: glasses; teeth: none; clothing: blouse; accessories: normal; expression: none; strength: none; weakness: barbing-saloon,efc0f7f5-d90b-46cc-be0b-6fcaa23a5422,d034617c5da20b022b7b3f8644e9712bc04f0439a20c29f55ed4958268a3985f
,207,daniel-the-hustler,daniel the hustler,A boy that lives in the streets of Lagos hustling everyday to make ends meet.,Male,hair: none; eyes: black; teeth: none; clothing: shirt; accessories: gang; expression: smiling; strength: hustling; weakness: alcohol,355be0ea-e500-41e1-add4-ce868759bb72,1e2ff45a25966466fd2f6342bc493011d1b219b6e3d52f00e81be9ae025aada5
,208,grandma-nanny,grandma nanny,A grandmother that does nothing but sleeps all day.,Female,hair: white; eyes: blue; teeth: none; clothing: blouse; accessories: fashion; expression: smiling; strength: design; weakness: none,ec8fe198-5c45-42a6-a909-4cfbcbbf6519,5152a3787b1b09e79bf0f18e69d33c1b3fd92d45cb89b598a69985a323cbb0df
,209,granpa-willy,granpa willy,A grandfather that drinks beer and reads newspaper all day.,Male,hair: white; eyes: black; teeth: none; clothing: shirt; accessories: fashion; expression: smiling; strength: reading; weakness: drinking,facf7001-d028-4e00-bffc-ed1f7c005ecc,b91bdfa9615404a289c2a92e19e16585313dad4acc001304536688530e1fd6f5
,210,joshua-gang-leader,joshua gang leader,A boy born to ritualist parents and now runs his own gang.,Male,hair: brown; eyes: black; teeth: gold; clothing: shirt; accessories: ponk; expression: suspicion; strength: none; weakness: none,cc3c5c06-df96-4a0d-a09f-3359c21191f6,96a8bf80f50c7aef42097ed6203ede51fb72447484e49c5580c76d464a72183e
,211,karashika-queen,karashika queen,A woman of the underworld that influences rich men into giving up their money.,Female,hair: white; eyes: glasses; teeth: none; clothing: blouse; accessories: fashion; expression: none; strength: design; weakness: boys,6e697e86-def8-4fb4-96c9-0f43ab9beea6,f260a0dc157a0d064a4450e20e426bebf9ed6794a87df29ae14efbfbaa490899
,212,king-of-baldmen,king of baldmek,A man that was born bald and has never seen a hair on his head.,Male,hair: cap; eyes: black; teeth: none; clothing: shirt; accessories: fashion; expression: smirk; strength: deceit; weakness: none,5142f00b-10b5-47a5-ab8a-8ae71b255b04,cfb204b7c96b8234172efa84e780600dea2ba3c9db66914e0279a186e42c915d
,213,musa-masked-mouth,musa masked mouth,Musa uses a tape to cover his mouth to prevent him from talking too much.,Male,hair: cap; eyes: closed; teeth: none; clothing: shirt; accessories: fashion; expression: none; strength: dressing; weakness: none,9a5e7e95-6552-4a92-ab18-2154678943c2,08316dd5a09c8ce662ffcf5b1031837d06150b7d801cb7615b087bb1b55408a2
,214,queen-of-smokers,queen of smokers,A chronic smoker looking for a spouse that will join her to die of smoking.,Female,hair: brown; eyes: glasses; teeth: smoke; clothing: blouse; accessories: none; expression: none; strength: none; weakness: smoking,eb32dfc0-29ee-49db-8833-37a41a6d6d65,c9d74512c40ed822fb7f383e9405748fdaff27a0a08660ce200217bc8080f70b
,215,redlips-man,redlips man,A man that kissed a woman and got his lips burnt.,Male,hair: brown; eyes: blue; teeth: none; clothing: shirt; accessories: none; expression: frown; strength: chewing; weakness: none,4d649c12-05a5-44a4-b4ef-eb285b291aff,f70e616b480a44e9caa4998556f4bd416ae5d4a7b92296029476a4a2c091aac6
,216,sleevless-maid,sleevless maid,A girl that nevers wears long cloths and gets herself thrown out of churches for indecent dressing.,Female,hair: white; eyes: blue; teeth: none; clothing: shirt; accessories: tan; expression: none; strength: seduction; weakness: none,1cec0f65-2ee4-41a9-a30a-1f7aa9ccd112,bf012063828a8b85813dc01ec4d1f50fad2c3c65d0ba6c9dd2f22c025ea8a880
,217,stephen-bluecap,stephen bluecap,Stephen always wears blue cap even to the church.,Male,hair: cap; eyes: black; teeth: none; clothing: shirt; accessories: fashion; expression: smile; strength: kindness; weakness: none,9b9de982-0f87-47ee-ae95-0b69b48d0cdf,d3af06c9fd21f2152069597bde70711acddcf853a63ef224e09137da07a216ee
,218,tinubu-gateman,tinubu gateman,Tinubu has been a gateman all his life.,Male,hair: cap; eyes: blue; teeth: tongue; clothing: shirt; accessories: fashion; expression: laugh; strength: laughter; weakness: none,c587932b-0b8c-4f70-8465-425a1f53df64,53c343db0396170ad3375fb88fea6e57f3b0db795c04419a8a00a5bc09f509f5
,219,vampire-girl,vampire girl,She dresses up as a vampire every haloween.,Female,hair: puff-puff; eyes: blue; teeth: two; clothing: blouse; accessories: none; expression: bite; strength: biting; weakness: none,3bba4477-d84a-440f-af66-12690ea8b2e4,8649c6476d2ac240aabdf57bb9344a825f4473e10bc7a296300e12c24c6455c5
,220,yusuf-the-smoker,yusuf the smoker,A chronic smoker with damaged lungs.,Male,hair: cap; eyes: dark-brown; teeth: smoke; clothing: shirt; accessories: fashion; expression: smile; strength: dressing; weakness: smoking,2af7b970-e212-4627-b818-13c00c8d3a72,96eddd0b29b3418fdd96fb20381b2f17655493f324aadcadff144c18467d221a
TEAM TAPE,221,lola-hng-newbie,lola hng newbie,A confused hng participant that cannot understand her project.,Female,hair: brown; eyes: white; teeth: white; clothing: ankara; accessories: none; expression: surprised; strength: none; weakness: confused,0ddbd22c-b3bb-4c72-9f51-0361480bbfa7,a57e530dcf0dfb4e10cea556830864af7282ce510a54ebaaa7de7d5eff9578e4
,222,nene-caroline,nene caroline,A housewife that loves taking care of her family.,Female,hair: brown; eyes: white; teeth: none; clothing:ankara; accessories: none; expression: calm; strength: loving; weakness: novice,4ce5bcf3-d4ed-4277-8187-cb1797c1ac7e,da8eb793dc2a355123812a9871c6e215e3ee36fcdca765b182e6dd4495c9187a
,223,wazo-partystopper,wazo partystopper,A Nigerian aunty that loves to attend owambe parties.,Female,hair: black; eyes: white; teeth: none; clothing: aso oke;  accessories: none; expression: proud; strength: energetic; weakness: none,77237cce-bae0-4d60-adad-27055f0eed39,99cdd779f21b2dd74e3c7d25f2c3413c1059b095100600fda4c7c5b1e8c837fc
,224,melanin-janet,melanin janet,A young lady with a soft personality.,Female,hair: brownish pink; eyes: white; teeth: none; clothing: english-ankara; accessories: none; expression: none; strength: calm; weakness: none,a5a2854e-a850-4b15-b3c3-176a79b2d34b,472eb278d6c8eba63c38ed0a4528911dca92318335a54c69ae151436f0c09c11
,225,leo-sugarmummy,leo sugarmummy,A middle age wild yankee returnee.,Female,hair: pumpkin; eyes: blue; teeth: none; clothing: leopard skin; accessories: none; expression: wild; strength: none; weakness: none,7ec03993-f500-4a41-aa3c-a73df7a0fbed,621fe5591ccd7d1bdce4c9f0e80a581e775fdc19924e4e540fa688025b3cb110
,226,novice-joane,novice joane,A princess worried about finding true love.,Female,hair: pumpkin; eyes: blue; teeth: none; clothing: kente; accessories: none; expression: worried; strength: diligent; weakness: easily initimidated,a5d49163-41b1-43fe-ad7f-0c78ef530b1a,0da240b993efb8a81e462c03d06e0814557e87a5518941f6fab9fde1e16828fd
,227,goofy-simbi,goofy simbi,An eccentric teenager that loves music.,Female,hair: pumpkin; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: indifferent; strength: none; weakness: unconventional behaviour,df7dc588-f99c-4592-84f6-08b40047d9d1,71d227272cc7645cf7a40d084b6f8128635def03890edbf05b47bc2c1e80a538
,228,akwaaba-ghana,akwaaba ghana,A depressed gothic introvert.,Female,hair: purple; eyes: blue; teeth: none; clothing: kente; accessories: none; expression: depressed  strength: none  weakness:weak,d1e8b38b-994b-487c-890b-9034d3ab7dcb,f6cde54bc4b72dc32bef3038798ed83cb795ae6b2af37d2a87a705c4d9b31e87
,229,aunty-toyin,aunty toyin,An oversabi family member.,Female,hair: pumpkin; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: carefree; strength: audacious; weakness: none,1326ef4b-224a-497e-9452-e63a4486e387,ca33561134fbf995641c7299e492f8bc2b712430603a3cfffbf54d96556b4df0
,230,pretty-hauwa,pretty hauwa,A young bride involved in an early marriage.,Female,hair: dark brown; eyes: blue; teeth: none; clothing: kente; accessories: none; expression: self-sufficient; strength: diligent; weakness: uncritical,7c771f82-a512-403c-91b9-6736318a8796,bcba0bc0e242846b84237ae3ea336834ce961b328b4d917f5be7d0d8072ef62d
,231,chimamanda-enugu,chimamanda enugu,A young lady born during the war.,Female,hair: brown; eyes: black; teeth: none; clothing: ankara; accessories: none; expression: none; strength: none; weakness: none,eaad5c98-3f85-4480-9c4e-b73340cfba4f,5a6fcc98d3e23d85db4faf44b5b85bed5753780cf489c0e8397cd62ce1bbce29
,232,kente-solape,kente solape,A respectful and diligent princess.,Female,hair: black; eyes: black; teeth: none; clothing: ankara; accessories: none; expression: blanch; strength: bold; weakness: none,613ce65c-4b16-43f8-a0d9-b5ea8c5f2195,b01d251f3a04e82ab8ba62cad1108ff26cd96db8ad3716d439aa70278945ea69
,233,vamp-karishika,vamp karishika,Queen of the royal Ghana youths,Female,hair: brown; eyes: black; teeth: white; clothing: gele; accessories: none; expression: shocked; strength: tough; weakness: bossy,c4ee8a54-0874-4a7f-8344-dea8ba41f5dc,c7a16ca18a37d427b6cfc6982c823aefc8153203af56d6f4dcee6024ba2c35d7
,234,genz-monique,genz monique,A sassy lady with her own vibe.,Female,hair: pinkish-brown; eyes: black; teeth: none; clothing: ankara; accessories: none; expression: despiteful; strength: none; weakness: none,b5328f13-b918-4e76-8d4c-8b4aec5eb5fe,bfde2be1ecd3e0c0ab8ad7bee571e64e236dbcad86935b88c9141d1c59dfa5d5
,235,femi-boltz,femi boltz,A driver hustling his way through life.,Male,hair: black; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: proud; strength: smart; weakness: none,03e8d36d-5bdc-4da4-8f64-c1738eb9d1db,4a315e24afca878f7fd6768dd8928a43c0cfd173c29449710521cf4dfe9d64c1
,236,agba-tech,agba tech,A tech bro that loves to party but has bad communication skill.,Male,hair: black; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: proud; strength: smart; weakness: none,403f28a0-6aa7-4f80-997f-b0982c169baa,51f87eff595e63748d9ea47d3862788f9d2d7cc72904af0dc5972a496ca3dfc5
,237,brian-richkid,brian richkid,A trust fund baby that does not know how to manage money.,Male,hair: black; eyes: blue; teeth: none ; clothing: ankara; accessories: none; expression: proud ; strength: smart; weakness: none,9d945d79-dd2d-4755-b9c7-bff837be8557,94b5ea568d5b577384c5473a7f7f756e729a627c122e75e55dc17b981e70e1ef
,238,nandi-zulu,nandi zulu,A fierce African Queen.,Female,hair: pumpkin; eyes: brown; teeth: none; clothing: animal skin; accessories: none; expression: energetic; strength: smart; weakness: none,09702bc0-d10c-48d3-a1e9-2aaa4e9f3f39,89bd142e8b23efeeff666b167bdd086054500a31cb5b793757c62ce0037ba15d
,239,ade-demon,ade demon,A Lekki playboy that makes money from crypto.,Male,hair: none; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: proud; strength: smart; weakness: none,0be2d50b-3e57-4e39-a199-b211d2be860c,8933b01f81c12237363967e754f5c1de05dbd5bb608cc90fbbf7d661770f626b
,240,karim-rapper,karim rapper,A young and proud Lagos rapper.,Male,hair: black; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: proud; strength: smart; weakness: none,169b58f8-b84a-4ab3-a4b6-d1c5b36aa1d3,eea1d8bd2a0e30d7b805acecc805304254b9c4eda8ad95bab9c9426fc544693c
TEAM AXLE,241,bobo-alinco,bobo alinco,Alinco always in the mood for play.,Male,hair: orange; eyes: black; teeth: rabbit front teeth; clothing: white polo and blue pinafore; accessories: none; expression: unamused; strength: good listener; weakness: mostly unserious and plays roughly a lot,17e90692-26ec-4ac5-8613-d87d00278d37,628f4094debc550d72f06def9120af4983ba93b5a6f4d3a1d24abb752374fa39
,242,chi-lastborn,chi lastborn,Baby of the house; the lastborn of an average Nigerian family.,Female,hair: black; eyes: blue bold eyes; teeth: none; clothing: animal print gown; accessories: none; expression: teary; strength: truthful; weakness: cannot keep a secret,187b9001-81a7-421b-aeea-ba64f930f6c3,5cb72be61cf37605d32c2a18fe478f5b7087beda94d5ce46708d301a26c49bcd
,243,uju-robo-robo,uju robo robo,An aso-oke business woman at Balogun market.,Female,hair: black; eyes: black and grey; teeth: missing two front tooth; clothing: grey and mixed color patterned ankara; accessories: ankara beret; expression: astonished; strength: business acumen; weakness: hot tempered,8b98de66-9a2b-4229-b0d9-297b2906f548,1d9ecc8981fc6737334c6bd690ce3b1d1ff9369ab6fb3e7888e108f79926bc59
,244,yetunde-anifowose,yetunde anifowose,Old money lady who was in UK before UK was UK.,Female,hair: brown; eyes: brown; teeth: none; clothing: blue ankara; accessories: tobacco pipe; expression: serious; strength: wealthy; weakness: condescending,5646daa8-2619-46a5-ac93-9a49f862729a,42701397650922efe335c442a22cd2f709d8a1ce46218e7ec107f09ddab527d6
,245,dumebi-jjc,dumebi jjc,Newly admitted to the university; looking for freedom from her parents.,Female,hair: orange hair in two side buns; eyes: black; teeth: none; clothing: ankara blouse; accessories: none; expression: innocent; strength: curiousity; weakness: gullible,ed0148f9-491b-44e5-9b3b-07d3e8a48efe,36bfd93134aefb99c9c949d38ada7953ce9a8fd145ae92b0d1f33eeb7b76353c
